Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Critica_Profesional,Critica_Usuario,Tiene_Rating,Global_Sales_norm
Real Robots Final Attack,PS,1998.0,Shooter,Banpresto,0.0,0.0,0.07,0.01,0.08,,,,,,No,No,No,0.06730769230769232
P.N.03 - Product Number Three,GC,2003.0,Shooter,Capcom,0.06,0.02,0.0,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen\xe2\x80\x8,PS3,2007.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Ape Escape: Pumped & Primed,PS2,2004.0,Misc,Sony Computer Entertainment,0.04,0.03,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Super Monkey Ball Adventure,PSP,2006.0,Platform,Sega,0.05,0.02,0.0,0.01,0.08,56.0,23.0,5.9,7.0,E,Sí,Sí,Sí,0.06730769230769232
Medabots Dual: Kabuto / Kuwagata,3DS,2013.0,Role-Playing,Rocket Company,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Monster Trucks DS,DS,2005.0,Racing,Majesco Entertainment,0.07,0.0,0.0,0.01,0.08,33.0,7.0,,,E,Sí,No,Sí,0.06730769230769232
FabStyle,DS,2011.0,Strategy,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Outlaw Tennis,PS2,2005.0,Sports,Global Star,0.04,0.03,0.0,0.01,0.08,67.0,15.0,,,M,Sí,No,Sí,0.06730769230769232
Yoru no Nai Kuni,PSV,2015.0,Role-Playing,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Hearts of Iron III,PC,2009.0,Strategy,Paradox Interactive,0.02,0.04,0.0,0.01,0.08,77.0,23.0,7.1,234.0,E10+,Sí,Sí,Sí,0.06730769230769232
Worms: Open Warfare,DS,2006.0,Strategy,THQ,0.05,0.02,0.0,0.01,0.08,64.0,24.0,7.0,16.0,E10+,Sí,Sí,Sí,0.06730769230769232
Mission Runway,DS,2008.0,Simulation,Eidos Interactive,0.07,0.01,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Adventure Time: Explore the Dungeon Because I Dont Know!,X360,2013.0,Action,D3Publisher,0.03,0.04,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
R-Type Command,PSP,2007.0,Strategy,Rising Star Games,0.06,0.0,0.01,0.01,0.08,69.0,29.0,6.5,6.0,E10+,Sí,Sí,Sí,0.06730769230769232
Hammerin Hero,PSP,2008.0,Action,Irem Software Engineering,0.07,0.0,0.0,0.01,0.08,73.0,19.0,7.3,8.0,E10+,Sí,Sí,Sí,0.06730769230769232
LEGO Soccer Mania,GBA,2002.0,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08,,,,,,No,No,No,0.06730769230769232
TrackMania DS,DS,2008.0,Racing,Focus Home Interactive,0.06,0.01,0.0,0.01,0.08,75.0,38.0,6.9,13.0,E,Sí,Sí,Sí,0.06730769230769232
Prey the Stars,DS,2008.0,Action,Tecmo Koei,0.07,0.0,0.0,0.01,0.08,66.0,12.0,,,E,Sí,No,Sí,0.06730769230769232
Gadget Racers,PS2,2000.0,Racing,Midas Interactive Entertainment,0.04,0.03,0.0,0.01,0.08,67.0,10.0,7.4,7.0,E,Sí,Sí,Sí,0.06730769230769232
Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,2003.0,Role-Playing,Sega,0.06,0.02,0.0,0.0,0.08,71.0,24.0,8.2,13.0,T,Sí,Sí,Sí,0.06730769230769232
Zoo Tycoon (2013),X360,2013.0,Simulation,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
ZhuZhu Babies,DS,2011.0,Simulation,Activision,0.06,0.01,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Bleach: Heat the Soul 7,PSP,2010.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Nanashi no Game,DS,2008.0,Adventure,Square Enix,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Diegos Build & Rescue,DS,2010.0,Action,Take-Two Interactive,0.07,0.0,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Ultimate Ghosts n Goblins,PSP,2006.0,Platform,Capcom,0.07,0.0,0.0,0.01,0.08,72.0,49.0,7.7,18.0,E10+,Sí,Sí,Sí,0.06730769230769232
Auto Destruct,PS,1998.0,Action,Electronic Arts,0.04,0.03,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Samurai Warriors 2,X360,2006.0,Action,Tecmo Koei,0.07,0.01,0.0,0.01,0.08,52.0,30.0,8.7,18.0,T,Sí,Sí,Sí,0.06730769230769232
GOTHA: Ismailia Seneki,SAT,1995.0,Strategy,Sega,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,3DS,2012.0,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Silent Hunter III,PC,2005.0,Simulation,Ubisoft,0.0,0.07,0.0,0.01,0.08,90.0,23.0,8.0,96.0,T,Sí,Sí,Sí,0.06730769230769232
Alien Syndrome,PSP,2007.0,Role-Playing,Sega,0.07,0.0,0.0,0.01,0.08,51.0,20.0,6.0,9.0,T,Sí,Sí,Sí,0.06730769230769232
Ultimate Fighting Championship: Throwdown,GC,2002.0,Fighting,Ubisoft,0.06,0.02,0.0,0.0,0.08,67.0,8.0,,,T,Sí,No,Sí,0.06730769230769232
Major League Baseball 2K12,DS,2012.0,Sports,Take-Two Interactive,0.07,0.0,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Deep Fear,SAT,1998.0,Adventure,Sega,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Skeleton Warriors,PS,1996.0,Platform,Virgin Interactive,0.04,0.03,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Ford vs. Chevy,X,2005.0,Racing,Global Star,0.06,0.02,0.0,0.0,0.08,,,,,E,No,No,Sí,0.06730769230769232
Endgame,PS2,2002.0,Shooter,Empire Interactive,0.04,0.03,0.0,0.01,0.08,57.0,12.0,6.8,5.0,T,Sí,Sí,Sí,0.06730769230769232
The Dukes of Hazzard: Return of the General Lee,X,2004.0,Racing,Ubisoft,0.06,0.02,0.0,0.0,0.08,49.0,18.0,7.0,4.0,E,Sí,Sí,Sí,0.06730769230769232
Criminal Girls: Invite Only,PSP,2010.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Ultimate Duck Hunting,Wii,2009.0,Sports,Zoo Digital Publishing,0.07,0.0,0.0,0.01,0.08,28.0,5.0,,,T,Sí,No,Sí,0.06730769230769232
Dreamer Series: Shop Owner,DS,2009.0,Simulation,Deep Silver,0.07,0.0,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Jikkyou Powerful Pro Yakyuu Next,Wii,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Virus,SAT,1997.0,Shooter,Hudson Soft,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
WWE Crush Hour,GC,2003.0,Racing,THQ,0.06,0.02,0.0,0.0,0.08,55.0,14.0,7.0,5.0,T,Sí,Sí,Sí,0.06730769230769232
Dragon Shadow Spell,PS2,2007.0,Role-Playing,Flight-Plan,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
C.O.P.: The Recruit,DS,2009.0,Action,Ubisoft,0.05,0.02,0.0,0.01,0.08,55.0,38.0,7.5,13.0,T,Sí,Sí,Sí,0.06730769230769232
Sound Novel Tsukuru,SNES,1996.0,Misc,ASCII Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Dragon Slayer: The Legend of Heroes,GEN,1994.0,Role-Playing,Sega,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
NHL Hitz 20-03,GC,2002.0,Sports,Midway Games,0.06,0.02,0.0,0.0,0.08,82.0,12.0,8.4,5.0,E,Sí,Sí,Sí,0.06730769230769232
Momotarou Dentetsu 11,GC,2002.0,Misc,Hudson Soft,0.0,0.0,0.07,0.0,0.08,,,,,,No,No,No,0.06730769230769232
The Idolm@ster,X360,2007.0,Simulation,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Soul Bubbles,DS,2008.0,Puzzle,Eidos Interactive,0.05,0.02,0.0,0.01,0.08,78.0,33.0,8.0,22.0,E,Sí,Sí,Sí,0.06730769230769232
"3 in 1: Solitaire, Mahjong & Tangram",DS,2010.0,Misc,Deep Silver,0.0,0.07,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Guilty Gear XX Slash,PS2,2006.0,Fighting,Sammy Corporation,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Urban Reign,PS2,2005.0,Action,Namco Bandai Games,0.04,0.03,0.0,0.01,0.08,60.0,44.0,8.3,27.0,T,Sí,Sí,Sí,0.06730769230769232
Slayers Royal 2,SAT,1998.0,Role-Playing,Kadokawa Shoten,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Super Robot Taisen Z Special Disc,PS2,2009.0,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Cate West: The Vanishing Files,Wii,2009.0,Adventure,Oxygen Interactive,0.07,0.0,0.0,0.01,0.08,65.0,8.0,,,E10+,Sí,No,Sí,0.06730769230769232
Winter Stars,PS3,2011.0,Sports,Deep Silver,0.01,0.05,0.0,0.01,0.08,53.0,6.0,,,E,Sí,No,Sí,0.06730769230769232
Resident Evil 3: Nemesis,GC,2003.0,Action,Capcom,0.06,0.02,0.0,0.0,0.08,62.0,14.0,8.3,44.0,M,Sí,Sí,Sí,0.06730769230769232
All-Star Baseball 2004,GC,2003.0,Sports,Acclaim Entertainment,0.06,0.02,0.0,0.0,0.08,80.0,14.0,9.2,5.0,E,Sí,Sí,Sí,0.06730769230769232
Bangai-O Spirits,DS,2008.0,Shooter,D3Publisher,0.07,0.0,0.0,0.01,0.08,83.0,38.0,8.1,27.0,E10+,Sí,Sí,Sí,0.06730769230769232
Ultimate Party Challenge,Wii,2009.0,Misc,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Team Elimination Games,Wii,2009.0,Misc,Ubisoft,0.07,0.0,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Whac-A-Mole,DS,2005.0,Puzzle,Zoo Digital Publishing,0.07,0.0,0.0,0.01,0.08,,,5.4,7.0,E,No,Sí,Sí,0.06730769230769232
Dawn of Heroes,DS,2010.0,Role-Playing,Majesco Entertainment,0.07,0.0,0.0,0.01,0.08,69.0,4.0,,,E10+,Sí,No,Sí,0.06730769230769232
Lost in Blue: Shipwrecked,Wii,2008.0,Adventure,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08,54.0,11.0,6.0,6.0,E10+,Sí,Sí,Sí,0.06730769230769232
Salon Superstar,DS,2009.0,Simulation,505 Games,0.07,0.0,0.0,0.0,0.08,,,,,E,No,No,Sí,0.06730769230769232
Aliens in the Attic,Wii,2009.0,Action,Playlogic Game Factory,0.07,0.0,0.0,0.01,0.08,,,,,E10+,No,No,Sí,0.06730769230769232
Kenka Banchou 6: Soul & Blood,3DS,2015.0,Fighting,Screenlife,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Scooby-Doo! Whos Watching Who?,PSP,2006.0,Adventure,THQ,0.07,0.0,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Madden NFL 08,GC,2007.0,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08,75.0,4.0,7.0,7.0,E,Sí,Sí,Sí,0.06730769230769232
Ro-Kyu-Bu!,PSP,2011.0,Adventure,Kadokawa Shoten,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Frogger Beyond,X,2002.0,Platform,Konami Digital Entertainment,0.06,0.02,0.0,0.0,0.08,,,,,E,No,No,Sí,0.06730769230769232
Earth Defense Force 2: Invaders from Planet Space,PSV,2014.0,Action,Xseed Games,0.02,0.0,0.04,0.01,0.08,72.0,20.0,8.5,22.0,T,Sí,Sí,Sí,0.06730769230769232
World Championship Poker: Deluxe Series,DS,2005.0,Misc,505 Games,0.07,0.0,0.0,0.01,0.08,67.0,8.0,,,E,Sí,No,Sí,0.06730769230769232
Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,DS,2007.0,Fighting,Takara Tomy,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Yoostar on MTV,X360,2011.0,Misc,YooStar Entertainment Group Inc.,0.07,0.0,0.0,0.01,0.08,49.0,4.0,,,T,Sí,No,Sí,0.06730769230769232
Stuart Little 3: Big Photo Adventure,PS2,2005.0,Platform,Sony Computer Entertainment,0.04,0.03,0.0,0.01,0.08,71.0,5.0,7.7,7.0,E,Sí,Sí,Sí,0.06730769230769232
Fantasia: Music Evolved,X360,2014.0,Misc,Disney Interactive Studios,0.06,0.01,0.0,0.01,0.08,,,7.0,7.0,E10+,No,Sí,Sí,0.06730769230769232
"Ni Hao, Kai-lan: Super Game Day",PS2,2009.0,Misc,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Serious Sam 3: BFE,PC,2011.0,Shooter,Mastertronic,0.01,0.05,0.0,0.01,0.08,72.0,53.0,8.2,590.0,,Sí,Sí,No,0.06730769230769232
Katekyoo Hitman Reborn! DS: Flame Rumble Hyper - Moeyo Mirai,DS,2008.0,Fighting,Takara Tomy,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Pro Yakyuu Famista DS 2010,DS,2010.0,Sports,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Ultimate Shooting Collection,Wii,2008.0,Shooter,Milestone,0.07,0.0,0.0,0.0,0.08,66.0,4.0,,,E,Sí,No,Sí,0.06730769230769232
Infernal: Hells Vengeance,X360,2009.0,Shooter,Playlogic Game Factory,0.06,0.01,0.0,0.01,0.08,35.0,23.0,5.3,10.0,M,Sí,Sí,Sí,0.06730769230769232
Captain Tsubasa,PS2,2006.0,Sports,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Pitfall: The Lost Expedition,GC,2004.0,Platform,Activision,0.06,0.02,0.0,0.0,0.08,73.0,25.0,8.6,8.0,E,Sí,Sí,Sí,0.06730769230769232
No One Can Stop Mr. Domino!,PS,1998.0,Misc,JVC,0.04,0.03,0.0,0.0,0.08,,,,,,No,No,No,0.06730769230769232
10 Minute Solution,Wii,2010.0,Sports,Activision,0.06,0.01,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
GT Advance 3: Pro Concept Racing,GBA,2002.0,Racing,THQ,0.05,0.02,0.0,0.0,0.08,74.0,14.0,,,E,Sí,No,Sí,0.06730769230769232
Man vs. Wild,Wii,2011.0,Action,Crave Entertainment,0.07,0.0,0.0,0.0,0.08,,,,,T,No,No,Sí,0.06730769230769232
Majin Tensei,SNES,1994.0,Role-Playing,Atlus,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Duke Nukem: Land of the Babes,PS,2000.0,Shooter,Atari,0.04,0.03,0.0,0.0,0.08,37.0,7.0,6.8,20.0,M,Sí,Sí,Sí,0.06730769230769232
Jimmie Johnsons Anything With an Engine,Wii,2011.0,Racing,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08,,,,,E10+,No,No,Sí,0.06730769230769232
Dragon Force II: Kamisarishi Daichi ni,SAT,1998.0,Strategy,Sega,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Need For Speed: Undercover,PC,2008.0,Racing,Electronic Arts,0.0,0.07,0.0,0.01,0.08,65.0,18.0,5.0,232.0,T,Sí,Sí,Sí,0.06730769230769232
Monkey Hero,PS,1998.0,Action,Take-Two Interactive,0.04,0.03,0.0,0.0,0.08,,,,,,No,No,No,0.06730769230769232
MXGP 2,XOne,2016.0,Racing,Milestone S.r.l.,0.04,0.02,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Krazy Ivan,PS,1995.0,Simulation,Psygnosis,0.04,0.03,0.0,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Quo Vadis,SAT,1995.0,Strategy,Glams,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Need for Speed: Most Wanted,PC,2012.0,Racing,Electronic Arts,0.0,0.06,0.0,0.02,0.08,82.0,19.0,8.5,531.0,T,Sí,Sí,Sí,0.06730769230769232
PQ: Practical Intelligence Quotient,PSP,2005.0,Puzzle,D3Publisher,0.07,0.0,0.0,0.01,0.08,69.0,34.0,,,E,Sí,No,Sí,0.06730769230769232
Fate/Tiger Colosseum,PSP,2007.0,Fighting,Capcom,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
SCORE International Baja 1000: The Official Game,PS3,2008.0,Racing,Activision,0.07,0.0,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Genkai Totsuki Moero Chronicle,PSV,2014.0,Role-Playing,Compile Heart,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Dragon Ball Z: The Legacy of Goku I & II,GBA,2005.0,Role-Playing,Atari,0.05,0.02,0.0,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Family Game Night 4: The Game Show,X360,2011.0,Misc,Electronic Arts,0.07,0.0,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Utawarerumono: Itsuwari no Kamen,PSV,2015.0,Adventure,Aqua Plus,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
R: Racing Evolution,GC,2003.0,Racing,Namco Bandai Games,0.06,0.02,0.0,0.0,0.08,67.0,35.0,,,T,Sí,No,Sí,0.06730769230769232
Stella Deus: The Gate of Eternity,PS2,2004.0,Strategy,505 Games,0.04,0.03,0.0,0.01,0.08,75.0,31.0,8.0,9.0,T,Sí,Sí,Sí,0.06730769230769232
Vietcong: Purple Haze,X,2004.0,Shooter,Gathering of Developers,0.06,0.02,0.0,0.0,0.08,57.0,32.0,8.4,11.0,M,Sí,Sí,Sí,0.06730769230769232
One Piece: Gear Spirit,DS,2007.0,Fighting,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Conflict: Desert Storm,GC,2003.0,Shooter,SCi,0.06,0.02,0.0,0.0,0.08,62.0,19.0,8.4,13.0,T,Sí,Sí,Sí,0.06730769230769232
Tales of Fandom Vol.2,PS2,2007.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Bella Sara,DS,2008.0,Misc,Codemasters,0.04,0.03,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Minna no Joushiki Ryoku TV,Wii,2008.0,Misc,Nintendo,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
P.T.O. IV: Pacific Theater of Operations,PS2,2002.0,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.08,71.0,12.0,6.6,5.0,E,Sí,Sí,Sí,0.06730769230769232
Metal Gear Solid V: The Definitive Experience,PS4,2016.0,Action,Konami Digital Entertainment,0.03,0.02,0.01,0.01,0.08,,,8.2,14.0,M,No,Sí,Sí,0.06730769230769232
BlazBlue: Chrono Phantasma,PSV,2014.0,Fighting,Arc System Works,0.04,0.0,0.03,0.01,0.08,,,7.8,28.0,T,No,Sí,Sí,0.06730769230769232
Rayman Origins,PC,2012.0,Platform,Ubisoft,0.0,0.06,0.0,0.01,0.08,86.0,11.0,8.4,342.0,E10+,Sí,Sí,Sí,0.06730769230769232
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Wii,2011.0,Action,THQ,0.04,0.03,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Tears to Tiara: Garland of the Earth,PS3,2008.0,Strategy,Aqua Plus,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Mind Quiz: Your Brain Coach,DS,2006.0,Misc,Ubisoft,0.0,0.0,0.08,0.0,0.08,,,,,E,No,No,Sí,0.06730769230769232
Elebits: The Adventures of Kai and Zero,DS,2008.0,Adventure,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08,75.0,15.0,8.3,4.0,E,Sí,Sí,Sí,0.06730769230769232
Imagine: My Restaurant,DS,2009.0,Simulation,Ubisoft,0.0,0.07,0.0,0.01,0.08,,,,,,No,No,No,0.06730769230769232
Codename: Kids Next Door: Operation S.O.D.A.,GBA,2004.0,Platform,Global Star,0.05,0.02,0.0,0.0,0.08,,,,,E,No,No,Sí,0.06730769230769232
Pinball Hall of Fame: The Gottlieb Collection,X,2004.0,Misc,Crave Entertainment,0.06,0.02,0.0,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Far Cry Instincts Evolution,X,2006.0,Shooter,Ubisoft,0.06,0.02,0.0,0.0,0.08,78.0,15.0,6.3,32.0,M,Sí,Sí,Sí,0.06730769230769232
Conception: Please Give Birth to My Child!,PSP,2012.0,Role-Playing,Spike,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Medal of Honor: Underground,GBA,2002.0,Shooter,Zoo Digital Publishing,0.05,0.02,0.0,0.0,0.08,46.0,5.0,1.7,11.0,T,Sí,Sí,Sí,0.06730769230769232
Super Football,2600,1987.0,Sports,Atari,0.07,0.0,0.0,0.0,0.08,,,,,,No,No,No,0.06730769230769232
The Idolmaster: Gravure For You! Vol. 3,PS3,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Cosmic Family,Wii,2007.0,Misc,Ubisoft,0.07,0.0,0.0,0.01,0.08,54.0,6.0,5.7,6.0,E,Sí,Sí,Sí,0.06730769230769232
Scooby-Doo! Unmasked,X,2005.0,Platform,THQ,0.06,0.02,0.0,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Driven,GC,2002.0,Racing,BAM! Entertainment,0.06,0.02,0.0,0.0,0.08,55.0,12.0,,,T,Sí,No,Sí,0.06730769230769232
Just Dance: Disney Party 2,XOne,2015.0,Action,Ubisoft,0.06,0.01,0.0,0.01,0.08,,,,,E,No,No,Sí,0.06730769230769232
Dynasty Warriors 3,X,2002.0,Action,THQ,0.06,0.02,0.0,0.0,0.08,70.0,11.0,8.9,20.0,T,Sí,Sí,Sí,0.06730769230769232
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,DS,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Nicola Kanshuu: Model Oshare * Audition Platina,3DS,2012.0,Action,Alchemist,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Jimmie Johnsons Anything With an Engine,PS3,2011.0,Racing,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08,67.0,5.0,6.8,4.0,E10+,Sí,Sí,Sí,0.06730769230769232
Fairy Tail: Portable Guild 2,PSP,2011.0,Fighting,Konami Digital Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
MTV Music Generator 3: This Is the Remix,X,2004.0,Misc,Codemasters,0.06,0.02,0.0,0.0,0.08,79.0,26.0,5.4,10.0,T,Sí,Sí,Sí,0.06730769230769232
Medabots 8,3DS,2014.0,Role-Playing,Rocket Company,0.0,0.0,0.08,0.0,0.08,,,,,,No,No,No,0.06730769230769232
Mirrors Edge Catalyst,PC,2016.0,Platform,Electronic Arts,0.01,0.06,0.0,0.0,0.07,74.0,24.0,4.4,623.0,T,Sí,Sí,Sí,0.057692307692307696
Party Pigs: Farmyard Games,Wii,2009.0,Misc,Data Design Interactive,0.07,0.0,0.0,0.0,0.07,,,,,E,No,No,Sí,0.057692307692307696
Wizardry: Llylgamyn Saga,PS,1998.0,Role-Playing,Locus,0.0,0.0,0.07,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Kinnikuman Muscle Grand Prix Max 2: Tokumori,PS2,2008.0,Fighting,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Gale Racer,SAT,1994.0,Racing,Sega,0.0,0.0,0.07,0.0,0.07,,,,,,No,No,No,0.057692307692307696
In The Groove,PS2,2005.0,Misc,RedOctane,0.04,0.03,0.0,0.01,0.07,72.0,14.0,9.0,13.0,E,Sí,Sí,Sí,0.057692307692307696
World Tour Soccer 06,PSP,2006.0,Sports,Sony Computer Entertainment,0.07,0.0,0.0,0.01,0.07,72.0,44.0,,,E,Sí,No,Sí,0.057692307692307696
The Legend of Kage 2,DS,2008.0,Action,Square Enix,0.07,0.0,0.0,0.0,0.07,70.0,21.0,6.3,4.0,E10+,Sí,Sí,Sí,0.057692307692307696
Myst,PS,1995.0,Adventure,Psygnosis,0.0,0.0,0.07,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Baroque,Wii,2008.0,Role-Playing,Rising Star Games,0.07,0.0,0.0,0.01,0.07,50.0,22.0,8.1,24.0,T,Sí,Sí,Sí,0.057692307692307696
AKB1/149: Love Election,PSV,2012.0,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Naruto Shippuden: Gekito Ninja Taisen! EX 3,Wii,2008.0,Fighting,Takara Tomy,0.0,0.0,0.07,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,2010.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.07,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Tokyo Twilight Ghost Hunters,PSV,2014.0,Role-Playing,Aksys Games,0.03,0.01,0.02,0.01,0.07,63.0,12.0,7.0,16.0,T,Sí,Sí,Sí,0.057692307692307696
Magic Pengel: The Quest for Color,PS2,2002.0,Role-Playing,Taito,0.04,0.03,0.0,0.01,0.07,74.0,24.0,7.5,12.0,E,Sí,Sí,Sí,0.057692307692307696
Super Baseball,2600,1987.0,Sports,Atari,0.07,0.0,0.0,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PS3,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Kung Fu Panda: Legendary Warriors,Wii,2008.0,Action,Activision,0.07,0.0,0.0,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Formula One World Championship: Beyond the Limit,SCD,1994.0,Racing,Sega,0.0,0.0,0.07,0.0,0.07,,,,,,No,No,No,0.057692307692307696
Grease Dance,PS3,2011.0,Misc,505 Games,0.05,0.02,0.0,0.01,0.07,,,,,T,No,No,Sí,0.057692307692307696
